gamelabel,gamedate,versus,guestteam,hometeam,scoreoverall,score1st,score2nd,score3rd,score4th,extratime,guesttp,hometp
13-14_01-02_MIL-UTA,01-02,MIL-UTA,MIL,UTA,87-96,20-20,22-31,19-23,26-22,,"Giannis Antetokounmpo;F;2019;3;6;1;2;3;4;1;6;7;5;0;1;2;4;10;
Ersan Ilyasova;F;1079;4;9;0;1;0;0;1;2;3;0;0;0;4;2;8;
Larry Sanders;C;2077;7;7;0;0;2;2;0;8;8;2;2;2;1;3;16;
Luke Ridnour;G;2223;4;8;0;2;4;4;1;2;3;8;1;0;3;1;12;
Brandon Knight;G;1922;3;12;1;5;1;2;0;2;2;3;2;0;1;2;8;
Miroslav Raduljica;null;803;3;5;0;0;1;1;1;1;2;0;0;0;0;4;7;
O.J. Mayo;null;1090;2;7;0;4;0;0;1;0;1;0;1;1;1;1;4;
Khris Middleton;null;1187;1;5;0;2;0;0;1;3;4;1;1;0;1;2;2;
Caron Butler;null;1006;4;8;1;2;0;0;0;3;3;2;1;0;0;0;9;
Gary Neal;null;994;5;9;1;4;0;1;0;1;1;0;0;0;0;0;11;","Richard Jefferson;F;1514;1;3;0;2;2;2;0;2;2;1;0;0;2;2;4;
Marvin Williams;F;1723;1;7;0;1;0;0;1;3;4;2;1;0;0;0;2;
Derrick Favors;C;1723;9;16;0;0;3;3;3;8;11;0;4;0;0;1;21;
Gordon Hayward;G;2405;8;16;3;5;3;3;0;4;4;2;2;3;2;2;22;
Trey Burke;G;1693;3;9;1;4;4;4;1;4;5;4;1;0;3;2;11;
Alec Burks;null;1841;4;12;1;2;4;4;1;3;4;3;0;0;1;3;13;
Jeremy Evans;null;1157;1;4;0;0;0;0;1;2;3;0;1;1;0;2;2;
Enes Kanter;null;1157;5;9;0;0;1;1;2;4;6;1;0;2;2;1;11;
Diante Garrett;null;1187;4;5;2;2;0;0;0;4;4;2;1;0;1;2;10;"
13-14_01-02_NYK-SAS,01-02,NYK-SAS,NYK,SAS,105-101,26-25,26-22,29-28,24-26,,"Carmelo Anthony;F;2320;10;20;2;4;5;5;1;11;12;4;1;1;3;5;27;
Andrea Bargnani;F;1339;3;8;0;1;4;4;2;1;3;1;0;1;2;2;10;
Tyson Chandler;C;1314;2;5;0;0;0;0;1;5;6;0;0;1;0;3;4;
Iman Shumpert;G;1869;10;13;6;8;1;1;2;4;6;1;3;0;2;2;27;
Beno Udrih;G;1937;4;9;0;2;2;2;1;1;2;7;1;0;2;0;10;
Amar'e Stoudemire;null;1416;4;6;0;0;3;4;2;1;3;0;0;2;2;2;11;
J.R. Smith;null;1725;2;5;0;1;0;0;0;5;5;3;0;0;2;4;4;
Kenyon Martin;null;834;2;6;0;0;0;0;0;0;0;0;0;0;0;4;4;
Tim Hardaway Jr.;null;736;0;1;0;0;3;4;0;1;1;1;0;0;0;0;3;
Toure Murry;null;910;2;3;1;1;0;0;0;2;2;2;2;0;0;1;5;","Kawhi Leonard;F;1687;1;5;1;3;5;8;1;3;4;4;1;1;1;4;8;
Tim Duncan;F;1903;3;8;0;0;3;4;1;6;7;2;0;2;1;0;9;
Tiago Splitter;C;1152;3;6;0;0;0;0;3;2;5;1;1;0;2;2;6;
Marco Belinelli;G;1960;12;16;6;9;2;2;1;4;5;2;0;0;2;1;32;
Tony Parker;G;2060;5;13;1;2;1;2;0;3;3;7;0;0;1;3;12;
Boris Diaw;null;648;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;
Manu Ginobili;null;1704;4;11;1;6;2;3;0;2;2;12;2;1;3;2;11;
Jeff Ayres;null;585;1;2;0;0;0;0;1;3;4;0;0;0;0;2;2;
Matt Bonner;null;770;3;5;3;5;0;0;0;2;2;0;0;0;0;0;9;
Patty Mills;null;820;3;4;2;2;0;0;1;0;1;0;0;0;0;1;8;
Danny Green;null;1111;2;7;0;5;0;0;0;0;0;1;1;0;0;1;4;"
13-14_01-02_ORL-CLE,01-02,ORL-CLE,ORL,CLE,81-87,23-19,16-22,23-16,17-22,2-8;,"Tobias Harris;F;1687;5;11;0;3;0;0;0;5;5;1;1;2;1;1;10;
Glen Davis;F;2550;6;19;0;0;4;8;2;11;13;1;1;2;2;6;16;
Jason Maxiell;C;2566;1;6;0;0;4;6;1;5;6;2;2;3;3;3;6;
Arron Afflalo;G;2356;5;15;2;5;0;0;0;6;6;5;0;0;2;1;12;
Jameer Nelson;G;2584;5;9;4;8;0;0;0;6;6;9;0;0;2;3;14;
Andrew Nicholson;null;1202;5;11;0;3;2;2;3;3;6;0;0;1;1;2;12;
E'Twaun Moore;null;815;1;2;1;2;0;2;0;1;1;2;0;0;0;1;3;
Victor Oladipo;null;1544;3;9;0;4;0;0;1;3;4;1;0;2;3;2;6;
Maurice Harkless;null;596;1;2;0;0;0;0;1;1;2;0;1;2;0;1;2;","Earl Clark;F;1191;2;10;0;5;0;0;1;1;2;2;2;2;2;0;4;
Tristan Thompson;F;2439;6;13;0;0;4;8;3;7;10;2;0;0;1;2;16;
Anderson Varejao;C;2364;8;17;0;0;2;4;8;17;25;3;0;1;1;3;18;
CJ Miles;G;1678;4;8;3;5;3;3;0;2;2;1;0;1;0;4;14;
Jarrett Jack;G;2522;5;16;1;2;3;3;1;6;7;7;0;0;1;3;14;
Dion Waiters;null;2325;6;20;0;3;5;6;1;3;4;3;0;0;1;0;17;
Tyler Zeller;null;853;0;0;0;0;0;0;1;4;5;0;0;1;1;1;0;
Matthew Dellavedova;null;1289;1;5;0;3;0;0;1;0;1;2;2;0;2;3;2;
Anthony Bennett;null;674;0;4;0;1;0;0;1;2;3;1;1;0;2;3;0;
Alonzo Gee;null;565;1;3;0;0;0;0;0;0;0;1;1;0;1;2;2;"
13-14_01-02_PHI-SAC,01-02,PHI-SAC,PHI,SAC,113-104,30-25,31-26,31-26,21-27,,"Evan Turner;F;2546;11;22;0;4;2;2;2;8;10;6;2;0;1;3;24;
Thaddeus Young;F;2186;9;16;1;2;9;9;2;5;7;4;6;1;0;2;28;
Spencer Hawes;C;1030;4;11;1;3;1;1;2;5;7;1;0;1;2;6;10;
Hollis Thompson;G;1346;1;3;1;2;0;0;0;1;1;0;0;2;1;2;3;
Michael Carter-Williams;G;1642;3;11;0;2;1;2;1;3;4;5;2;3;3;4;7;
James Anderson;null;1043;2;4;1;2;0;0;2;2;4;1;0;0;3;0;5;
Lavoy Allen;null;910;5;7;0;1;0;0;2;4;6;1;0;0;1;6;10;
Tony Wroten;null;1889;6;13;1;3;8;13;0;4;4;3;1;0;1;3;21;
Brandon Davies;null;519;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;
Elliot Williams;null;174;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
Daniel Orton;null;1115;1;3;0;0;3;4;2;2;4;2;1;3;0;2;5;","Rudy Gay;F;1800;7;11;0;1;4;5;2;5;7;2;1;1;3;1;18;
Jason Thompson;F;1179;1;2;0;0;0;1;0;5;5;0;0;1;2;4;2;
DeMarcus Cousins;C;1701;10;16;0;0;13;19;4;10;14;2;2;1;5;5;33;
Ben McLemore;G;1390;0;5;0;3;0;0;1;2;3;0;0;0;2;2;0;
Isaiah Thomas;G;2177;7;18;4;9;5;6;0;1;1;7;0;0;3;5;23;
Derrick Williams;null;1509;4;7;0;1;3;4;2;0;2;0;0;3;2;3;11;
Quincy Acy;null;1001;0;5;0;0;0;0;2;1;3;0;0;0;0;3;0;
Marcus Thornton;null;1194;1;6;0;3;0;0;1;3;4;2;0;0;1;1;2;
Travis Outlaw;null;1272;0;4;0;0;0;0;2;5;7;1;1;0;0;1;0;
Jimmer Fredette;null;999;5;9;3;6;2;2;1;3;4;0;0;1;3;0;15;
Aaron Gray;null;178;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;"
13-14_01-03_GSW-ATL,01-03,GSW-ATL,GSW,ATL,101-100,24-21,22-25,18-26,37-28,,"Andre Iguodala;F;1608;3;5;1;3;0;0;1;2;3;5;1;0;0;0;7;
David Lee;F;2343;9;16;0;0;5;7;3;5;8;3;2;0;2;1;23;
Andrew Bogut;C;1070;3;5;0;0;0;0;3;6;9;3;1;3;2;2;6;
Klay Thompson;G;2377;8;17;3;7;2;2;1;4;5;6;0;1;3;1;21;
Stephen Curry;G;2079;7;15;1;7;7;8;0;8;8;9;5;0;9;5;22;
Harrison Barnes;null;1749;4;12;1;2;0;1;3;2;5;2;3;0;0;4;9;
Draymond Green;null;1050;0;3;0;2;0;2;0;2;2;1;2;2;2;4;0;
Toney Douglas;null;554;2;5;0;2;0;0;0;0;0;0;0;0;0;0;4;
Kent Bazemore;null;880;1;5;0;3;2;4;0;2;2;1;1;1;1;0;4;
Marreese Speights;null;690;2;4;0;1;1;1;2;3;5;0;0;0;2;0;5;","DeMarre Carroll;F;1908;5;8;1;3;1;2;1;6;7;1;4;0;0;3;12;
Paul Millsap;F;2019;3;14;0;3;6;6;3;8;11;2;2;2;4;2;12;
Pero Antic;C;1601;6;9;4;6;0;0;1;6;7;0;1;0;1;4;16;
Kyle Korver;G;1926;2;7;1;5;0;0;0;3;3;4;1;1;0;1;5;
Jeff Teague;G;1857;5;13;0;2;4;5;0;3;3;7;2;0;5;4;14;
Elton Brand;null;1075;3;5;0;0;0;0;1;2;3;0;0;1;2;0;6;
Lou Williams;null;1335;3;9;2;6;0;0;0;4;4;4;1;0;3;1;8;
Shelvin Mack;null;1570;6;8;1;3;2;2;0;0;0;4;3;0;2;2;15;
Mike Scott;null;1109;4;7;1;3;3;4;1;2;3;1;1;0;2;2;12;"
13-14_01-03_LAC-DAL,01-03,LAC-DAL,LAC,DAL,119-112,33-39,34-31,22-17,30-25,,"Jared Dudley;F;2186;3;9;1;3;0;2;1;3;4;3;0;0;0;1;7;
Blake Griffin;F;2468;7;18;0;1;11;13;5;10;15;5;0;1;0;3;25;
DeAndre Jordan;C;2472;11;14;0;0;3;7;6;12;18;1;1;3;2;2;25;
Jamal Crawford;G;2083;6;17;1;6;4;4;0;1;1;2;1;0;3;2;17;
Chris Paul;G;1309;5;8;5;6;4;4;0;3;3;6;1;0;1;1;19;
Matt Barnes;null;1189;2;4;2;4;0;0;0;1;1;0;1;0;0;2;6;
Darren Collison;null;2127;6;10;0;3;8;8;1;2;3;4;1;0;4;4;20;
Willie Green;null;566;0;2;0;0;0;0;0;1;1;0;0;0;0;1;0;","Shawn Marion;F;1848;8;16;2;4;2;2;2;4;6;2;2;0;2;1;20;
Dirk Nowitzki;F;1975;10;17;4;5;0;0;0;4;4;4;2;0;1;0;24;
Samuel Dalembert;C;1247;2;5;0;0;5;6;2;3;5;0;0;1;1;3;9;
Monta Ellis;G;2256;6;12;0;2;1;2;0;2;2;9;2;0;2;4;13;
Jose Calderon;G;1982;4;10;3;8;0;0;0;6;6;5;0;0;0;3;11;
DeJuan Blair;null;431;3;5;0;0;0;0;1;2;3;0;0;0;1;1;6;
Vince Carter;null;1494;3;10;2;7;0;0;0;3;3;5;0;0;2;5;8;
Brandan Wright;null;1370;6;8;0;0;0;0;3;2;5;1;0;0;1;4;12;
Jae Crowder;null;982;0;1;0;1;1;2;0;1;1;0;1;0;0;2;1;
Shane Larkin;null;815;3;4;1;1;1;2;3;1;4;3;1;0;1;2;8;"
13-14_01-03_MEM-DEN,01-03,MEM-DEN,MEM,DEN,108-111,23-28,25-30,27-19,33-34,,"Tayshaun Prince;F;1740;5;9;1;1;2;2;1;3;4;3;0;0;1;1;13;
Zach Randolph;F;2284;10;18;0;0;5;7;5;8;13;2;0;0;1;1;25;
Kosta Koufos;C;1334;4;6;0;0;3;4;1;4;5;1;1;2;0;5;11;
Tony Allen;G;2208;3;6;0;0;4;6;1;3;4;2;3;0;4;3;10;
Mike Conley;G;2140;8;15;3;5;4;5;0;0;0;8;4;0;2;1;23;
Jerryd Bayless;null;634;0;5;0;3;0;0;0;1;1;2;0;0;0;1;0;
James Johnson;null;756;1;3;0;0;2;2;2;1;3;2;2;0;2;0;4;
Mike Miller;null;967;1;3;0;1;2;2;0;0;0;1;0;0;0;2;4;
Ed Davis;null;1140;1;5;0;0;3;6;0;2;2;1;1;0;1;3;5;
Jon Leuer;null;907;4;6;1;2;2;2;0;3;3;0;0;1;2;3;11;
Nick Calathes;null;291;0;0;0;0;2;2;0;0;0;1;0;0;0;1;2;","Wilson Chandler;F;1852;3;10;2;7;0;0;0;4;4;1;1;0;2;5;8;
Kenneth Faried;F;1721;7;8;0;0;2;2;2;4;6;1;0;0;2;2;16;
JJ Hickson;C;1362;3;9;0;0;1;2;1;3;4;1;0;1;1;2;7;
Randy Foye;G;2010;5;8;2;3;1;2;2;5;7;4;0;0;1;3;13;
Ty Lawson;G;2200;6;12;1;4;5;6;1;3;4;12;3;1;5;2;18;
Timofey Mozgov;null;1441;7;9;0;0;2;2;3;4;7;1;0;2;1;3;16;
Darrell Arthur;null;1184;3;6;0;0;0;0;0;4;4;0;1;1;1;6;6;
Evan Fournier;null;1267;4;8;1;3;3;3;1;2;3;0;1;0;2;3;12;
Nate Robinson;null;1363;5;10;3;5;2;4;1;1;2;7;1;0;1;2;15;"
13-14_01-03_NOP-BOS,01-03,NOP-BOS,NOP,BOS,95-92,22-17,27-26,24-29,22-20,,"Al-Farouq Aminu;F;1384;2;8;0;1;0;0;0;7;7;1;0;0;0;1;4;
Anthony Davis;F;2281;9;12;0;0;5;8;3;6;9;2;1;3;1;2;23;
Alexis Ajinca;C;724;0;2;0;0;0;0;1;0;1;1;0;0;0;4;0;
Eric Gordon;G;1980;3;7;0;0;6;6;1;4;5;3;0;0;2;2;12;
Jrue Holiday;G;1996;2;11;0;1;0;0;1;3;4;5;1;0;4;1;4;
Ryan Anderson;null;1494;5;11;1;3;2;3;3;4;7;0;0;0;1;2;13;
Tyreke Evans;null;1753;8;13;0;0;0;0;3;5;8;6;1;0;5;2;16;
Darius Miller;null;785;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;
Brian Roberts;null;885;3;6;1;1;4;4;0;1;1;5;0;0;2;0;11;
Greg Stiemsma;null;1119;6;7;0;0;0;1;0;3;3;0;0;1;0;4;12;","Jeff Green;F;1825;5;12;2;7;4;6;0;2;2;2;0;1;2;2;16;
Brandon Bass;F;2074;8;10;0;0;0;0;6;5;11;0;0;1;0;2;16;
Jared Sullinger;C;1787;3;17;0;4;7;7;9;2;11;2;1;1;3;4;13;
Avery Bradley;G;2019;7;15;4;6;4;4;0;4;4;0;1;1;0;0;22;
Jordan Crawford;G;2240;2;14;0;6;1;1;0;4;4;11;1;0;2;3;5;
Kris Humphries;null;1420;2;6;0;0;3;4;6;6;12;3;0;1;1;3;7;
Kelly Olynyk;null;473;0;1;0;0;3;4;0;1;1;0;0;0;1;3;3;
Gerald Wallace;null;1061;2;3;0;0;1;2;0;1;1;1;0;0;0;1;5;
Courtney Lee;null;861;1;8;1;5;0;0;1;1;2;1;1;0;0;2;3;
Phil Pressey;null;640;1;3;0;1;0;0;0;1;1;2;1;0;0;1;2;"
13-14_01-03_NYK-HOU,01-03,NYK-HOU,NYK,HOU,100-102,24-20,23-28,34-25,19-29,,"Carmelo Anthony;F;2274;10;23;2;4;3;3;1;7;8;2;0;0;2;4;25;
Andrea Bargnani;F;1805;3;10;0;3;1;2;4;4;8;0;0;2;2;4;7;
Tyson Chandler;C;1637;4;5;0;0;5;7;5;6;11;0;1;1;1;3;13;
Iman Shumpert;G;2135;9;14;6;6;2;2;1;3;4;5;1;0;0;3;26;
Beno Udrih;G;2052;5;13;0;1;0;0;1;3;4;7;2;0;0;3;10;
Toure Murry;null;832;1;4;0;1;1;4;1;0;1;4;1;0;1;2;3;
J.R. Smith;null;1859;3;13;1;8;2;2;0;0;0;2;2;0;0;1;9;
Amar'e Stoudemire;null;1154;2;6;0;0;2;2;4;3;7;0;2;0;2;2;6;
Tim Hardaway Jr.;null;652;0;1;0;1;1;2;0;1;1;0;0;0;0;0;1;","Chandler Parsons;F;2661;6;13;1;5;4;5;1;10;11;2;3;0;2;2;17;
Terrence Jones;F;1797;3;7;0;0;0;0;3;6;9;3;0;0;2;2;6;
Dwight Howard;C;2308;6;11;0;0;3;6;2;5;7;0;1;3;1;3;15;
James Harden;G;2668;10;19;5;10;12;12;2;5;7;6;0;0;5;2;37;
Jeremy Lin;G;1691;5;11;1;2;3;3;1;1;2;4;0;0;3;2;14;
Aaron Brooks;null;1172;1;8;1;5;2;2;1;1;2;1;0;0;2;4;5;
Greg Smith;null;572;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
Omri Casspi;null;380;2;3;1;2;0;0;0;1;1;0;0;0;0;0;5;
Francisco Garcia;null;1151;1;2;1;2;0;0;0;4;4;0;0;1;0;4;3;"
13-14_01-03_TOR-WAS,01-03,TOR-WAS,TOR,WAS,101-88,26-17,22-28,36-16,17-27,,"Terrence Ross;F;1908;5;14;4;8;0;0;1;2;3;2;2;1;1;2;14;
Amir Johnson;F;2052;8;12;1;2;0;0;1;6;7;2;0;2;3;3;17;
Jonas Valanciunas;C;1748;3;5;0;0;1;2;4;3;7;0;0;0;2;5;7;
Kyle Lowry;G;2115;7;13;4;4;1;2;1;4;5;11;3;0;2;2;19;
DeMar DeRozan;G;2161;7;14;0;0;6;7;1;2;3;5;1;1;0;1;20;
John Salmons;null;1691;1;5;0;3;2;2;0;1;1;3;2;0;1;2;4;
Patrick Patterson;null;1324;8;10;2;3;0;0;2;2;4;2;0;0;1;0;18;
Charles Hayes;null;636;1;2;0;0;0;0;0;2;2;1;0;0;0;3;2;
Greivis Vasquez;null;765;0;4;0;2;0;0;0;1;1;3;0;0;2;2;0;","Trevor Ariza;F;1268;2;3;2;2;0;0;1;0;1;1;0;0;2;4;6;
Trevor Booker;F;1904;4;7;0;0;0;0;5;8;13;2;2;0;2;4;8;
Marcin Gortat;C;1327;4;9;0;0;2;2;2;3;5;0;0;0;4;0;10;
Bradley Beal;G;1699;6;16;0;3;0;0;2;3;5;5;0;1;1;1;12;
John Wall;G;1831;4;15;0;3;3;3;0;2;2;6;2;0;2;1;11;
Nene;null;1214;4;9;0;0;7;8;1;3;4;0;0;1;4;0;15;
Martell Webster;null;1850;3;7;2;4;4;4;0;3;3;1;0;0;0;2;12;
Kevin Seraphin;null;777;2;6;0;0;0;0;4;1;5;0;0;0;2;0;4;
Garrett Temple;null;1049;1;4;0;0;0;0;0;2;2;3;1;0;0;1;2;
Otto Porter;null;855;1;2;0;0;0;0;1;1;2;1;1;0;0;1;2;
Jan Vesely;null;538;2;3;0;0;0;0;0;0;0;0;1;0;0;0;4;
Chris Singleton;null;88;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;"
13-14_01-03_UTA-LAL,01-03,UTA-LAL,UTA,LAL,99-110,12-30,28-22,27-31,32-27,,"Richard Jefferson;F;2010;4;11;3;7;5;8;0;5;5;3;1;0;1;1;16;
Marvin Williams;F;1393;5;10;0;2;1;2;2;3;5;2;1;1;1;2;11;
Derrick Favors;C;1686;5;9;0;0;1;2;3;3;6;0;0;1;0;4;11;
Gordon Hayward;G;2368;8;16;4;6;2;2;0;2;2;6;2;0;1;2;22;
Trey Burke;G;1999;3;15;0;8;0;0;0;3;3;9;0;0;1;2;6;
Diante Garrett;null;881;1;2;1;2;0;0;0;1;1;2;0;0;1;1;3;
Alec Burks;null;1382;1;8;0;1;1;2;1;2;3;2;1;0;2;2;3;
Jeremy Evans;null;1034;5;6;0;0;1;1;3;3;6;1;0;0;0;3;11;
Enes Kanter;null;1647;6;9;0;0;4;6;3;7;10;3;0;1;3;3;16;","Nick Young;F;2120;6;14;0;5;4;6;0;2;2;1;0;0;3;3;16;
Pau Gasol;F;2236;10;17;0;1;3;4;3;14;17;8;0;3;2;2;23;
Robert Sacre;C;1876;2;6;0;0;0;0;3;7;10;0;0;1;0;5;4;
Jodie Meeks;G;2046;6;14;3;10;3;3;1;2;3;6;1;0;2;3;18;
Kendall Marshall;G;2436;8;12;2;3;2;2;0;6;6;15;0;0;1;1;20;
Wesley Johnson;null;1278;5;5;1;1;0;0;0;1;1;1;2;1;0;3;11;
Ryan Kelly;null;760;1;2;1;1;3;4;0;1;1;1;0;0;2;4;6;
Shawne Williams;null;1004;3;4;3;3;1;2;0;1;1;1;1;1;0;1;10;
Jordan Hill;null;644;1;7;0;0;0;0;3;2;5;0;0;0;0;3;2;"
13-14_01-04_ATL-CHI,01-04,ATL-CHI,ATL,CHI,84-91,18-26,27-24,19-17,20-24,,"DeMarre Carroll;F;2325;4;8;1;2;1;2;3;4;7;4;3;1;2;2;10;
Paul Millsap;F;1852;5;18;0;3;6;6;6;6;12;1;1;2;2;2;16;
Pero Antic;C;1355;3;8;3;5;0;0;2;5;7;1;0;1;1;3;9;
Kyle Korver;G;2166;3;9;2;7;0;0;1;4;5;3;1;0;1;3;8;
Jeff Teague;G;1928;7;16;0;4;2;2;1;1;2;6;2;1;4;4;16;
Elton Brand;null;1167;2;4;0;0;0;0;0;2;2;0;1;3;0;3;4;
Lou Williams;null;1145;2;6;0;1;1;1;0;2;2;2;0;0;2;0;5;
Mike Scott;null;1510;4;10;2;4;2;3;4;1;5;2;1;0;1;3;12;
Shelvin Mack;null;952;2;7;0;2;0;0;0;1;1;2;0;0;2;0;4;","Luol Deng;F;1782;5;15;1;1;6;6;7;4;11;1;3;0;3;1;17;
Taj Gibson;F;2353;4;12;0;0;2;2;3;9;12;2;1;3;2;4;10;
Joakim Noah;C;2061;3;7;0;0;4;6;3;9;12;2;0;5;3;2;10;
Jimmy Butler;G;2298;4;11;1;5;2;4;1;1;2;3;5;1;0;0;11;
Kirk Hinrich;G;1170;2;3;1;2;0;0;0;2;2;2;1;0;0;4;5;
Mike Dunleavy;null;1680;9;14;2;3;0;0;1;2;3;0;1;1;1;0;20;
Nazr Mohammed;null;819;2;6;0;0;3;4;3;3;6;1;0;1;2;0;7;
D.J. Augustin;null;1710;4;13;1;6;2;2;2;2;4;7;0;1;2;4;11;
Tony Snell;null;527;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;"
13-14_01-04_CHA-SAC,01-04,CHA-SAC,CHA,SAC,113-103,32-27,33-25,24-30,24-21,,"Chris Douglas-Roberts;F;2125;4;9;1;3;1;2;0;4;4;2;0;1;1;1;10;
Josh McRoberts;F;2201;2;6;1;2;0;0;3;8;11;4;1;1;2;2;5;
Al Jefferson;C;2311;11;21;0;0;5;7;1;8;9;2;2;1;2;4;27;
Gerald Henderson;G;2089;7;13;1;2;1;2;0;3;3;3;1;0;0;2;16;
Kemba Walker;G;2133;12;19;4;6;2;3;0;4;4;6;1;0;2;1;30;
Ramon Sessions;null;1335;5;9;0;0;2;4;1;1;2;3;0;0;2;0;12;
Cody Zeller;null;679;2;2;0;0;2;3;1;1;2;2;0;0;1;2;6;
Anthony Tolliver;null;958;2;3;2;2;0;0;0;2;2;0;0;1;0;1;6;
Bismack Biyombo;null;569;0;1;0;0;1;2;0;1;1;0;0;0;1;6;1;","Rudy Gay;F;2454;8;14;0;0;1;2;4;6;10;4;0;0;4;2;17;
Jason Thompson;F;1883;7;9;0;0;1;2;4;10;14;0;0;0;2;4;15;
DeMarcus Cousins;C;2283;8;23;0;2;10;14;5;6;11;2;4;0;2;4;26;
Ben McLemore;G;1299;2;8;1;4;0;0;1;2;3;0;0;1;1;1;5;
Isaiah Thomas;G;2085;9;17;2;5;1;1;1;2;3;8;1;1;3;5;21;
Derrick Williams;null;1069;2;4;1;1;0;0;1;1;2;0;2;1;0;2;5;
Quincy Acy;null;876;0;0;0;0;0;0;0;3;3;1;0;2;1;2;0;
Marcus Thornton;null;1581;5;10;2;3;0;0;1;3;4;0;1;0;1;1;12;
Jimmer Fredette;null;795;1;7;0;2;0;0;0;2;2;2;0;0;0;1;2;
Aaron Gray;null;75;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"
13-14_01-04_CLE-BKN,01-04,CLE-BKN,CLE,BKN,82-89,17-22,21-29,27-16,17-22,,"Earl Clark;F;1424;3;9;1;4;0;0;0;6;6;0;0;0;0;0;7;
Tristan Thompson;F;2161;3;8;0;0;3;4;5;4;9;3;1;0;3;2;9;
Anderson Varejao;C;2132;2;6;0;0;0;0;4;8;12;1;0;2;2;2;4;
CJ Miles;G;1883;6;19;2;8;5;8;1;7;8;0;2;0;1;4;19;
Jarrett Jack;G;2305;1;8;0;1;0;0;1;3;4;7;0;0;1;2;2;
Dion Waiters;null;1709;9;18;3;5;5;6;1;1;2;0;0;1;4;3;26;
Tyler Zeller;null;374;1;2;0;0;0;0;2;0;2;1;0;0;0;5;2;
Matthew Dellavedova;null;1729;4;7;4;4;1;2;0;0;0;2;1;0;0;3;13;
Anthony Bennett;null;498;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;
Henry Sims;null;185;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;","Joe Johnson;F;2086;1;7;0;5;0;0;1;2;3;2;0;0;1;1;2;
Paul Pierce;F;2061;6;14;2;6;3;3;1;1;2;5;1;3;3;2;17;
Reggie Evans;C;1648;3;6;0;0;2;4;2;9;11;0;1;0;1;2;8;
Shaun Livingston;G;2100;3;8;0;0;0;0;0;3;3;5;1;1;2;3;6;
Deron Williams;G;2263;7;10;1;3;6;7;0;2;2;6;0;0;1;2;21;
Andrei Kirilenko;null;847;2;3;0;0;4;4;0;2;2;0;0;0;0;1;8;
Alan Anderson;null;1397;1;6;1;3;0;0;0;3;3;3;0;0;1;3;3;
Andray Blatche;null;1219;4;10;0;0;4;4;1;4;5;2;1;0;0;2;12;
Mirza Teletovic;null;697;3;6;3;6;0;0;1;1;2;1;0;0;0;2;9;
Jason Terry;null;42;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3;
Mason Plumlee;null;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tyshawn Taylor;null;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Tornike Shengelia;null;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"
